cycle,voltage,current,temperature,capacity,impedance,onset_cycle
0,3.364309366762252,1.1260093055884,37.07359709071851,1.8400430170082969,0.039397459368700115,175
1,3.263961389233601,1.2932851766623097,36.51032854862122,1.8400430170082969,0.040080919110725526,175
2,3.318390735324519,1.2100359410480883,38.95501151950222,1.8400430170082969,0.04154981092813211,175
3,3.3287475135668276,1.1883589717798084,42.0100922387505,1.8400430170082969,0.04124293079308804,175
4,3.4724594992327593,1.2780024937792944,32.87599220747612,1.8400430170082969,0.0398963266607135,175
5,3.318060834637048,1.147495831058474,32.139080984338335,1.8400430170082969,0.041432667212129154,175
6,3.4362144522473885,1.5048675788213168,37.450520184387315,1.8400430170082969,0.03997274652986804,175
7,3.414984494037167,0.9590562059246162,28.437239446369645,1.8400430170082969,0.044780554938958904,175
8,3.267591681561375,1.38283617906517,47.56861756891188,1.8400430170082969,0.04055219862047134,175
9,3.542962186734426,1.2175377028139942,40.70819393100243,1.8400430170082969,0.04397938334301143,175
10,3.4216356721704595,1.2107169159147046,32.86961415830875,1.8400430170082969,0.041428490182427544,175
11,3.5609861018869804,1.0494169437779644,33.18843364257726,1.8400430170082969,0.03768593480201845,175
12,3.51126905404159,1.346143976940274,37.9537890809614,1.8400430170082969,0.03947792095310079,175
13,3.424759890758327,0.9985519272632648,43.79596975706407,1.8400430170082969,0.04220251838299104,175
14,3.4576667075195564,1.0554436446644542,43.52014751599855,1.8400430170082969,0.04295245449064974,175
15,3.5607215682766395,1.1294576808864896,42.789725845470485,1.8400430170082969,0.03700522683106011,175
16,3.394700509813815,1.2612422624834658,32.63470478275949,1.8400430170082969,0.04035150289773401,175
17,3.508713019774939,1.162133191624906,23.855132211928293,1.8400430170082969,0.0374356215322636,175
18,3.3848687571963203,1.1249177541650042,33.035400508162844,1.8400430170082969,0.03926329594076719,175
19,3.3834384790705068,1.03138397010658,32.55631152279293,1.8400430170082969,0.037817766157194364,175
20,3.3329679863564174,1.1243218950251972,34.690109336236006,1.8400430170082969,0.03928745039589334,175
