cycle,voltage,current,temperature,capacity,impedance,energy,onset_cycle
0,3.289071956211734,1.0770858748513932,24.863311141825164,2.1016522546359595,0.050043975394866554,3.542612945405499,585
1,3.2190839114858076,0.873128572090997,25.10928963740743,2.1016522546359595,0.04912846406806353,2.8106741390767045,585
2,3.385380620286972,0.9604062206027373,24.20984043872694,2.1016522546359595,0.048879853240443714,3.2513406068315613,585
3,3.1220347893552596,0.9044708542747983,24.79125827664404,2.1016522546359595,0.04954997691596396,2.823789473003792,585
4,3.261856631225402,1.0593111218754565,25.80817169911637,2.1016522546359595,0.04982444542343124,3.455321007420278,585
5,3.107987676316005,1.0484276617683592,24.416821239385847,2.1016522546359595,0.04716578438678164,3.258500252284865,585
6,3.434788625070583,0.8460205647933848,24.027163226055666,2.1016522546359595,0.05233542014864573,2.9059018125281084,585
7,3.205884492383861,0.9210769994815693,25.742797216446206,2.1016522546359595,0.05127979177370889,2.9528664689294204,585
8,3.4357207129662415,1.0490243225452485,24.246725766085742,2.1016522546359595,0.050966822890619955,3.6041545933740897,585
9,3.1302636459952042,1.0570249038236008,26.757650681963874,2.1016522546359595,0.04982122037412944,3.3087666293505946,585
10,3.368942601137829,0.9524827684995543,23.809139539271566,2.1016522546359595,0.05006696182532369,3.208859775647849,585
11,3.3901050010028984,1.1137541102223494,25.40490781371247,2.1016522546359595,0.051014133255980094,3.77574337895232,585
12,3.4459688084461493,0.9637934965091217,24.706621080178184,2.1016522546359595,0.04975656932393677,3.321202326753686,585
13,3.2213533818507654,0.8916642763648202,21.481450172838063,2.1016522546359595,0.048778447387275964,2.872365732143329,585
14,3.2636042922539605,0.9503417686623189,24.21152419177379,2.1016522546359595,0.048366084445650444,3.1015394753145644,585
15,3.1892293937925973,0.8925314659041126,24.339815783668822,2.1016522546359595,0.04737646220629176,2.8464875859461913,585
16,3.272929964060675,1.0982551144087638,25.09354906432184,2.1016522546359595,0.04953050631162613,3.5945120721313275,585
17,3.118146117813012,1.1317636458103224,25.87752654559473,2.1016522546359595,0.049462507720701376,3.5290044184653575,585
18,3.255274078560954,1.0476891367686196,24.02082494514259,2.1016522546359595,0.05006505198437761,3.41051528931279,585
19,3.1391087533378834,1.05625252509362,26.783048229655552,2.1016522546359595,0.050135379645711846,3.315691547256625,585
20,3.1438701868788526,0.9948984250852098,25.67437384647111,2.1016522546359595,0.051478502773720354,3.1278314975981143,585
21,3.3915820504232954,1.0779223256001824,25.308746690252526,2.1016522546359595,0.05155222042064403,3.6558620112561138,585
22,3.435396319743585,1.081882409296453,26.544378254134894,2.1016522546359595,0.048106924105647576,3.716694847292357,585
23,3.114555458344768,1.0606477190951762,24.945575935446797,2.1016522546359595,0.05235763915084243,3.3034461428888093,585
24,3.426392986517404,1.0282763596178262,23.486278898987067,2.1016522546359595,0.052190601726068556,3.5232789067961674,585
25,3.4424776660513983,1.1190562242624056,26.06288769564149,2.1016522546359595,0.05450898686133237,3.852326059079136,585
26,3.233574009576014,1.0683855812278178,23.911826496187373,2.1016522546359595,0.05036839798564009,3.4547038476640353,585
27,3.118592011019296,1.2084807720323507,24.43853575676101,2.1016522546359595,0.049561615518035014,3.7687584811305204,585
28,3.4454383963058195,1.067443326412908,22.50174729926879,2.1016522546359595,0.052428315068467166,3.677810222703439,585
29,3.3618702466413146,0.9073438016138005,25.244217758068338,2.1016522546359595,0.05124925670281417,3.050372130119855,585
30,3.388232779027306,1.1127659705661728,25.422455941165904,2.1016522546359595,0.05118175305558579,3.7703101368584413,585
31,3.1197015076613908,1.0758859162271335,25.347780664505915,2.1016522546359595,0.04680614113545317,3.356442914925445,585
32,3.198847125418592,0.9273455720690487,23.039121199410918,2.1016522546359595,0.04770765611228955,2.966436717482736,585
33,3.3731983505884306,0.8270455418011822,25.413202446850168,2.1016522546359595,0.047764305413958895,2.789788657465263,585
34,3.189219480592836,0.7915260671353515,26.195897604897837,2.1016522546359595,0.05121853920598894,2.524350352705096,585
35,3.3914028705597192,0.8520009153638592,23.7113806250729,2.1016522546359595,0.05091104973114584,2.8894783500845005,585
36,3.3209351196630084,0.8411295798315546,26.28870430268027,2.1016522546359595,0.05449880238670322,2.7933367618499996,585
37,3.227923058045407,1.1724515104569726,23.573329419121848,2.1016522546359595,0.049203069725108024,3.784583265044227,585
